,0
1171,2016-08-31
1172,2016-09-01
1173,2016-09-02
1174,2016-09-06
1175,2016-09-07
1176,2016-09-08
1177,2016-09-09
1178,2016-09-12
1179,2016-09-13
1180,2016-09-14
1181,2016-09-15
1182,2016-09-16
1183,2016-09-19
1184,2016-09-20
1185,2016-09-21
1186,2016-09-22
1187,2016-09-23
1188,2016-09-26
1189,2016-09-27
1190,2016-09-28
1191,2016-09-29
1192,2016-09-30
1193,2016-10-03
1194,2016-10-04
1195,2016-10-05
1196,2016-10-06
1197,2016-10-07
1198,2016-10-10
1199,2016-10-11
1200,2016-10-12
1201,2016-10-13
1202,2016-10-14
1203,2016-10-17
1204,2016-10-18
1205,2016-10-19
1206,2016-10-20
1207,2016-10-21
1208,2016-10-24
1209,2016-10-25
1210,2016-10-26
1211,2016-10-27
1212,2016-10-28
1213,2016-10-31
1214,2016-11-01
1215,2016-11-02
1216,2016-11-03
1217,2016-11-04
1218,2016-11-07
1219,2016-11-08
1220,2016-11-09
1221,2016-11-10
1222,2016-11-11
1223,2016-11-14
1224,2016-11-15
1225,2016-11-16
1226,2016-11-17
1227,2016-11-18
1228,2016-11-21
1229,2016-11-22
1230,2016-11-23
1231,2016-11-25
1232,2016-11-28
1233,2016-11-29
1234,2016-11-30
1235,2016-12-01
1236,2016-12-02
1237,2016-12-05
1238,2016-12-06
1239,2016-12-07
1240,2016-12-08
1241,2016-12-09
1242,2016-12-12
1243,2016-12-13
1244,2016-12-14
1245,2016-12-15
1246,2016-12-16
1247,2016-12-19
1248,2016-12-20
1249,2016-12-21
1250,2016-12-22
1251,2016-12-23
1252,2016-12-27
1253,2016-12-28
1254,2016-12-29
1255,2016-12-30
1256,2017-01-03
1257,2017-01-04
1258,2017-01-05
1259,2017-01-06
1260,2017-01-09
1261,2017-01-10
1262,2017-01-11
1263,2017-01-12
1264,2017-01-13
1265,2017-01-17
1266,2017-01-18
1267,2017-01-19
1268,2017-01-20
1269,2017-01-23
1270,2017-01-24
1271,2017-01-25
1272,2017-01-26
1273,2017-01-27
1274,2017-01-30
1275,2017-01-31
1276,2017-02-01
1277,2017-02-02
1278,2017-02-03
1279,2017-02-06
1280,2017-02-07
